,name,lat,lng
0,故宫博物院,39.9163447,116.3971546
1,天坛公园,39.8821803,116.4066056
2,颐和园,39.9999823,116.2754606
3,八达岭—慕田峪长城旅游区,40.3597596,116.0200204
4,明十三陵景区(神路-定陵-长陵-昭陵),40.255149,116.2235556
5,恭王府景区,39.93577399999999,116.386407
6,北京奥林匹克公园(鸟巢-水立方-中国科技馆-国家奥林匹克森林公园),39.9929036,116.3903618
7,天津古文化街旅游区（津门故里）,39.141969,117.193223
8,天津蓟县盘山风景名胜区,40.0926131,117.2823076
9,承德避暑山庄及周围寺庙景区(普陀宗乘-须弥福寺-普宁寺-普佑寺),41.016035,117.953669
10,秦皇岛山海关景区(老龙头-山海关古城-天下第一关-孟姜女庙),39.981616,119.786693
11,保定安新白洋淀景区(文化苑-大观园-鸳鸯岛-元妃荷园-嘎子印象-渔人乐园),38.935356,115.935668
12,保定涞水县野三坡景区(百里峡-白草畔-鱼谷洞-龙门天关),39.668395,115.385579
13,石家庄平山县西柏坡景区,38.348306,113.937938
14,大同云冈石窟,40.1115097,113.1324735
15,忻州五台山风景名胜区,38.9630924,113.6085612
16,晋城阳城县皇城相府生态文化旅游区,35.512328,112.582051
17,晋中市介休市绵山风景名胜区,36.8818889,111.9549651
18,晋中市乔家大院文化园区,37.407076,112.433645
19,晋中市平遥县平遥古城景区,37.20391100000001,112.174874
20,鄂尔多斯达拉特旗响沙湾旅游景区,40.243756,109.951797
21,鄂尔多斯伊金霍洛旗成吉思汗陵旅游区,39.3612111,109.8127449
22,沈阳植物园,41.858139,123.642987
23,大连老虎滩海洋公园—老虎滩极地馆,38.877117,121.678041
24,大连金石滩景区(地质公园-发现王国-蜡像馆-文化博览广场),39.081913,122.000064
25,本溪市本溪水洞景区,41.302483,124.085271
26,长白山景区,41.9930145,128.0774756
27,长春伪满皇宫博物馆,43.904901,125.3489189
28,长春净月潭景区,43.77876699999999,125.4528791
29,长春市长影世纪城景区,43.773573,125.448107
30,哈尔滨太阳岛景区,45.785818,126.591109
31,黑河五大连池景区,48.725744,126.227787
32,牡丹江宁安市镜泊湖景区,43.789724,128.8947901
33,伊春市汤旺河林海奇石景区,48.46122399999999,129.457833
34,大兴安岭地区漠河北极村旅游景区,53.46128599999999,122.35527
35,东方明珠广播电视塔,31.2396889,121.4997553
36,上海野生动物园,31.0547658,121.7243301
37,上海科技馆,31.21797,121.541078
38,苏州园林（拙政园－留园－虎丘）,31.3157066,120.5925704
39,苏州昆山周庄古镇景区,31.1176752,120.8469106
40,南京钟山—中山陵风景名胜区(明孝陵-音乐台-灵谷寺-梅花山-紫金山天文台),32.065927,118.829514
41,中央电视台无锡影视基地三国水浒城景区,31.484502,120.238415
42,无锡灵山大佛景区,31.430884,120.095919
43,苏州吴江同里古镇景区,31.156217,120.71905
44,南京夫子庙－秦淮河风光带(江南贡院-白鹭洲-中华门-瞻园-王谢故居),32.012583,118.781793
45,常州环球恐龙城景区(中华恐龙园-恐龙谷温泉-恐龙城大剧院),31.823739,120.000823
46,扬州瘦西湖风景区,32.422837,119.423877
47,南通市濠河风景区,32.0210571,120.8574829
48,泰州姜堰区溱湖国家湿地公园,32.614949,120.083738
49,苏州市金鸡湖国家商务旅游示范区,31.3115396,120.6947551
50,镇江三山风景名胜区（金山－北固山－焦山）,32.216714,119.457993
51,无锡鼋头渚景区,31.5232517,120.2267506
52,苏州吴中太湖旅游区（旺山－穹窿山－东山）,31.224857,120.450181
53,苏州常熟沙家浜－虞山尚湖旅游区,31.6520847,120.6861306
54,常州溧阳市天目湖景区(天目湖-南山竹海-御水温泉),31.319362,119.421092
55,镇江句容茅山景区,31.8039426,119.3163225
56,淮安市周恩来故里景区（周恩来纪念馆-周恩来故居-附马巷历史街区-河下古镇）,33.5069389,119.1427536
57,杭州西湖风景区,30.198854,120.103851
58,温州乐清市雁荡山风景区,28.3849833,121.0564425
59,舟山普陀山风景区,29.987646,122.384133
60,杭州淳安千岛湖风景区,29.594346,119.04716
61,嘉兴桐乡乌镇古镇旅游区,30.742803,120.48806
